StartDate,EndDate,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,Q32,Q33,Q34,Q35,Black1_1,Black1_2,Black1_3,Black1_4,Black2_1,Black2_2,Black2_3,Black2_4,Black3_1,Black3_2,Black3_3,Black3_4,Black4_1,Black4_2,Black4_3,Black4_4,Black5_1,Black5_2,Black5_3,Black5_4,Black6_1,Black6_2,Black6_3,Black6_4,Black7_1,Black7_2,Black7_3,Black7_4,Black8_1,Black8_2,Black8_3,Black8_4,Black9_1,Black9_2,Black9_3,Black9_4,Black10_1,Black10_2,Black10_3,Black10_4,Black11_1,Black11_2,Black11_3,Black11_4,Black12_1,Black12_2,Black12_3,Black12_4,White1_1,White1_2,White1_3,White1_4,White2_1,White2_2,White2_3,White2_4,White3_1,White3_2,White3_3,White3_4,White4_1,White4_2,White4_3,White4_4,White5_1,White5_2,White5_3,White5_4,White6_1,White6_2,White6_3,White6_4,White7_1,White7_2,White7_3,White7_4,White8_1,White8_2,White8_3,White8_4,White9_1,White9_2,White9_3,White9_4,White10_1,White10_2,White10_3,White10_4,White11_1,White11_2,White11_3,White11_4,White12_1,White12_2,White12_3,White12_4
19/02/2018 12:35,19/02/2018 12:39,257,19/02/2018 12:39,R_2qDh4UsO3Y5BpFG,53.23330688,Female ,20,White British ,Student ,1,1,6,1,3,2,3,2,2,4,2,4,3,4,1,4,2,2,4,3,3,6,3,4,2,3,2,,4,3,2,1,3,3,4,2,4,2,6,1,1,,2,5,3,4,2,,2,2,2,2,2,2,2,2,2,2,5,2,5,3,5,3,1,6,4,3,3,4,3,4,5,3,3,4,3,3,3,4,1,4,5,2,2,2,2,2,3,5,3,5,3,2,4,3
22/02/2018 19:51,22/02/2018 19:54,177,22/02/2018 19:54,R_1OqXeFihJejEI6H,51.56669617,M,19,Pakistani,Investment Banker,1,1,1,1,1,1,1,6,6,1,5,6,1,1,4,6,1,1,1,6,1,2,1,3,1,1,1,6,1,1,1,5,1,1,6,6,1,2,5,5,1,1,1,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,3,1,6,1,1,3,5,6,4,6,6,6,6,4,6,6,3,6,6,6,1,4,6,6,3,4,6,5,2,6,6,6,3,6,6,6,3
24/02/2018 10:18,24/02/2018 10:30,746,24/02/2018 10:30,R_2zwpIJMhQgcm7Q3,46.19999695,Female,69,British - White,Retired Lecturer,1,5,4,1,1,5,4,1,1,4,4,1,1,3,3,1,1,4,3,1,1,3,3,1,1,5,5,5,1,4,4,1,1,4,4,1,1,4,4,1,1,4,3,1,1,4,4,1,1,5,5,1,1,5,4,1,1,3,3,1,1,6,4,1,1,3,3,1,1,4,3,1,1,3,4,1,1,4,4,1,1,6,6,1,1,4,4,1,1,4,4,1,1,6,4,1
22/02/2018 19:08,22/02/2018 19:14,369,22/02/2018 19:14,R_UR4Peung8z22sGl,53.36669922,Female,19,White British ,Student ,2,3,2,2,1,3,2,2,3,3,3,3,2,3,2,2,4,3,3,4,2,2,2,2,2,2,2,2,3,3,,3,3,2,3,2,2,2,3,2,,3,3,3,3,3,3,3,3,4,3,3,2,3,3,2,4,6,3,3,2,3,3,2,2,2,2,2,1,2,1,1,2,2,3,2,1,2,2,2,3,2,3,2,1,2,3,2,5,5,4,4,2,2,2,2
23/02/2018 20:43,23/02/2018 21:00,973,23/02/2018 21:00,R_6D30BUqrjNdd5fz,51.2335968,Male,64,White,Part time transport consultant,2,5,3,3,6,5,3,2,3,5,4,3,3,5,2,4,2,5,6,6,2,5,3,4,3,5,3,3,5,4,4,5,3,5,4,6,3,5,3,3,6,5,1,4,3,5,4,3,3,5,3,3,2,5,2,3,3,5,2,3,3,5,4,3,2,6,3,2,2,6,5,2,2,5,4,3,3,5,4,2,5,6,4,3,2,5,4,3,3,5,4,3,3,5,4,1
19/02/2018 13:43,19/02/2018 13:54,690,26/02/2018 13:55,R_2SiSKmw9ZvllNvD,,Female,21,White,Teaching Assistant,2,5,2,1,2,4,4,2,5,4,3,5,3,4,2,2,5,4,2,6,3,4,2,3,3,2,5,3,5,2,4,2,3,3,4,3,4,2,4,3,4,3,2,5,1,2,2,1,3,4,4,3,5,5,3,2,4,3,5,3,3,2,4,3,3,4,1,1,2,1,2,2,3,2,3,3,3,2,5,1,4,4,3,4,2,5,4,2,5,6,4,3,3,5,4,3
19/02/2018 12:49,19/02/2018 12:54,340,19/02/2018 12:54,R_1mls396XYZ561Bb,52.91149902,Male,18,White British,Student,3,5,5,2,4,6,5,4,5,5,5,5,4,4,4,4,4,5,4,4,4,4,5,4,5,3,6,4,4,3,3,4,3,4,5,4,5,4,3,4,6,3,3,6,4,5,5,4,4,3,3,3,4,4,5,4,4,5,4,3,4,5,4,4,2,6,3,4,2,6,5,3,4,5,4,2,3,5,4,4,3,4,2,3,4,4,3,3,2,5,4,2,2,6,4,2
19/02/2018 12:50,19/02/2018 13:00,550,19/02/2018 13:00,R_1eUXULTAFJvsuVU,53.71670532,male,29,white,unemployed,3,3,2,3,3,3,2,2,4,3,2,4,3,4,3,2,3,4,3,3,2,2,2,2,4,3,3,4,3,2,4,2,4,3,3,4,3,2,3,2,4,2,2,4,3,4,4,2,3,2,3,3,3,2,2,2,3,2,3,3,3,2,2,2,4,2,3,4,3,4,3,2,3,2,3,3,3,3,4,2,4,3,2,3,2,3,4,2,4,3,3,3,3,3,4,3
19/02/2018 13:00,19/02/2018 13:12,717,19/02/2018 13:12,R_1HdCijhLnM3tTJL,52.91670227,Male,52,White british,Teacher,3,4,3,3,2,4,3,2,3,4,2,3,3,3,3,3,3,4,2,4,4,3,3,2,4,4,4,3,3,4,4,3,3,4,4,2,3,4,4,3,5,4,2,3,2,4,4,2,4,5,4,3,4,4,3,4,3,3,2,3,5,4,3,4,3,4,2,3,2,3,2,2,3,4,4,4,3,4,3,4,5,5,4,2,2,3,3,1,4,4,4,5,3,4,4,3
19/02/2018 13:47,19/02/2018 13:57,602,19/02/2018 13:57,R_3niKyKfsJAlXwuG,53.23330688,Male,20,White British,Student,3,5,4,3,3,4,5,2,2,2,3,5,3,3,,3,4,2,2,6,3,2,4,2,4,2,6,6,2,,2,4,3,,4,3,2,4,3,3,5,2,3,4,3,2,5,1,3,3,4,2,3,5,5,2,3,4,5,4,3,4,5,3,3,6,4,4,2,6,5,1,2,3,4,4,3,2,4,1,3,4,3,3,3,6,6,3,2,5,3,4,2,4,4,2
19/02/2018 18:51,19/02/2018 19:02,649,19/02/2018 19:02,R_808X7Bu4g3Guh3j,53.96670532,Female,26,White,Police officer,3,1,1,1,2,2,2,1,4,3,4,4,2,2,2,1,4,2,2,4,2,2,2,2,4,3,,4,2,1,4,2,3,2,4,3,4,3,4,2,4,2,2,4,3,3,4,3,4,2,4,4,3,2,2,2,4,2,4,4,4,3,4,3,3,3,5,2,3,3,1,1,3,3,3,3,4,5,3,3,3,2,2,3,2,2,4,2,4,4,4,4,4,3,3,4
22/02/2018 18:58,22/02/2018 19:06,442,22/02/2018 19:06,R_1g7ntWUIlHDlnlk,53.16900635,Female ,55,White British ,Registered nurse ,3,5,4,4,4,5,5,4,5,5,5,4,3,3,2,4,4,4,2,4,5,5,4,4,5,5,5,5,4,6,6,6,3,3,5,3,4,4,4,5,4,4,3,5,4,5,5,6,4,4,5,4,4,5,5,4,3,3,3,3,6,6,5,6,4,5,4,5,4,5,6,6,5,4,4,3,5,4,5,4,4,4,2,3,4,5,5,4,4,4,5,4,5,6,6,4
22/02/2018 20:20,22/02/2018 20:28,484,22/02/2018 20:28,R_396G4RfA1X3EiOJ,53.23330688,Female,20,White Irish ,Student,3,4,2,3,4,5,3,2,5,3,2,5,5,3,3,5,5,2,5,5,3,4,2,2,4,2,3,5,4,1,6,5,5,3,4,5,4,3,3,3,3,5,3,5,4,3,4,4,4,4,4,3,5,4,2,3,4,2,2,3,4,2,3,4,4,4,2,4,3,5,2,2,3,3,3,2,3,2,3,2,3,5,2,2,3,3,4,2,4,6,3,2,3,2,2,1
